TUCASEID	WEIGHT
20180112170673	5312.0
20180112171197	5348.0
20180112172008	4317.0
20180112172482	4289.0
20180201180562	4600.0
20180201180987	5602.0
20180201180995	4259.0
20180201181062	4143.0
20180201181402	4579.0
20180201181483	6336.0
20180201181761	6084.0
20180201182061	5348.0
20180201182256	5602.0
20180202181512	6336.0
20180212170106	4579.0
20180212171429	5312.0
20180212171655	5348.0
20180212171976	4143.0
20180212172126	6084.0
20180212172292	6336.0
20180301181606	31034.0
20180301181668	5348.0
20180301182241	3620.0
20180301182247	5312.0
20180301182503	8629.0
20180302180528	8629.0
20180302180608	6336.0
20180302180684	6084.0
20180302181002	8532.0
20180302181110	5348.0
20180302181191	8629.0
20180302181588	6084.0
20180302181597	5964.0
20180302181641	6084.0
20180302182008	5244.0
20180302182132	4259.0
20180302182397	5312.0
20180302182493	4259.0
20180303180036	5312.0
20180303181610	5244.0
20180402180162	8629.0
20180402181615	5312.0
20180403180054	6336.0
20180403180537	2765.0
20180403180588	5964.0
20180403181049	5244.0
20180403181096	6336.0
20180403181887	1245.0
20180403182213	8532.0
20180403182317	6336.0
20180502180922	17506.0
20180502182052	21856.0
20180503180668	3620.0
20180503181016	5312.0
20180503181401	4017.0
20180503181612	6084.0
20180503182394	21856.0
20180504180071	8532.0
20180504180626	8532.0
20180504181115	6336.0
20180504181260	6084.0
20180504181275	6336.0
20180504181379	6084.0
20180504181468	4317.0
20180504181570	5312.0
20180504181605	5312.0
20180504181671	4259.0
20180504181781	5964.0
20180504181925	4259.0
20180504181965	4579.0
20180504182283	5348.0
20180504182532	4289.0
20180604182086	8532.0
20180604182311	6336.0
20180605180007	6084.0
20180605180575	5348.0
20180605181025	4317.0
20180605181672	4259.0
20180605181677	2523.0
20180605182384	5244.0
20180605182403	5312.0
20180606181700	6336.0
20180606181849	6336.0
20180606182129	5312.0
20180606182524	5602.0
20180705180966	4579.0
20180705181079	5312.0
20180705182079	5348.0
20180706180531	6336.0
20180706180587	3018.0
20180706180911	4289.0
20180706181286	3620.0
20180706181540	4579.0
20180706182015	6336.0
20180706182375	2765.0
20180706182436	4317.0
20180707181136	6084.0
20180707182052	6336.0
20180707182185	3620.0
20180707182453	3620.0
20180707182474	6084.0
20180806180600	2765.0
20180806180710	8629.0
20180806181268	3620.0
20180806181959	23668.0
20180806182173	6084.0
20180807180084	2765.0
20180807180140	21150.0
20180807181452	5348.0
20180807181636	6084.0
20180807182161	8629.0
20180807182269	2523.0
20180807182307	8629.0
20180807182498	5348.0
20180808182514	4542.0
20180908180624	6084.0
20180908180725	2765.0
20180908180968	5312.0
20180908181047	8532.0
20180908181277	3620.0
20180908181809	4259.0
20180908181901	8532.0
20180908181915	5312.0
20180908181955	5348.0
20180908182017	3018.0
20180908182027	5348.0
20180908182358	4317.0
20180908182380	9740.0
20180908182415	5312.0
20180909180988	6336.0
20181008180554	5312.0
20181008181187	2765.0
20181008181246	4542.0
20181008182087	5348.0
20181009180047	5312.0
20181009180696	8629.0
20181009180721	5312.0
20181009180729	8629.0
20181009180841	5244.0
20181009181163	8629.0
20181009181298	6084.0
20181009181357	5312.0
20181009181365	4317.0
20181009181683	5602.0
20181009182141	6084.0
20181009182216	4317.0
20181009182352	3620.0
20181009182438	3620.0
20181010180092	6084.0
20181010181334	4289.0
20181010182027	5244.0
20181109181259	8629.0
20181110180581	2765.0
20181110180800	8532.0
20181110180942	6084.0
20181110181074	5312.0
20181110181925	5964.0
20181110182023	49946.0
20181111181586	6084.0
20181111182263	8629.0
20181210181144	6336.0
20181210181518	5348.0
20181211180958	5244.0
20181211180963	6084.0
20181211180997	5602.0
20181211181196	6336.0
20181211181255	4317.0
20181211181863	3620.0
20181211182159	8532.0
20181211182403	8629.0
20181212182018	5602.0
20190101191258	5312.0
20190101191442	6084.0
20190101191593	9740.0
20190101192195	6084.0
20190111180065	5602.0
20190111180579	5312.0
20190111181954	2452.0
20190112180003	7050.0
20190112180500	5244.0
20190112180725	8629.0
20190112180757	8532.0
20190112181216	14229.0
20190112181801	6336.0
20190112182061	3018.0
20190112182092	5312.0
20190112182244	5312.0
20190112182456	4317.0
20190201190581	4317.0
20190201191004	19172.0
20190201191188	5348.0
20190201191985	5602.0
20190201192138	4702.0
20190202191382	4259.0
20190202192434	5312.0
20190212180529	4263.0
20190212181654	5602.0
20190301191837	8629.0
20190302190077	4317.0
20190302190093	5312.0
20190302190568	5602.0
20190302190614	6336.0
20190302190628	2452.0
20190302190800	3620.0
20190302190996	4259.0
20190302191006	5602.0
20190302191012	6336.0
20190302191013	6084.0
20190302191041	4317.0
20190302191207	2765.0
20190302191376	8532.0
20190302191610	8532.0
20190302191722	2765.0
20190302191994	3018.0
20190302192083	8629.0
20190302192089	5312.0
20190302192194	2452.0
20190302192332	5244.0
20190302192427	4542.0
20190303190048	15475.0
20190303191472	4289.0
20190303191896	6084.0
20190303191900	4259.0
20190402191068	6336.0
20190403190015	3018.0
20190403190067	4259.0
20190403190663	3620.0
20190403190892	25272.0
20190403191114	6084.0
20190403191534	5244.0
20190403191579	6084.0
20190403191862	4289.0
20190403191954	1245.0
20190403192166	5312.0
20190403192327	6336.0
20190403192503	6084.0
20190404191105	4702.0
20190404192229	5244.0
20190404192433	5964.0
20190503190013	6336.0
20190503190799	5348.0
20190503192019	5312.0
20190504190639	6336.0
20190504190976	4289.0
20190504191620	6336.0
20190504191706	8532.0
20190504191772	9202.0
20190504191818	6084.0
20190504192085	6336.0
20190504192516	4289.0
20190504192542	2765.0
20190604191391	8629.0
20190605190042	5602.0
20190605190620	3018.0
20190605190692	17506.0
20190605191283	4259.0
20190605191521	6336.0
20190605191624	6336.0
20190605191729	14229.0
20190605191890	2452.0
20190605192005	8629.0
20190605192057	6084.0
20190606190857	3018.0
20190606192033	5964.0
20190705191631	6336.0
20190706190556	6336.0
20190706190762	5312.0
